[0.        0.        0.5377387],[0.1127566  0.063545   0.52550524],[0.01652327 0.4175508  0.33263198],[0.02619489 0.2264773  0.        ],[-0.11628747 -0.06571037  0.549972  ],[-0.26618937  0.2998028   0.41428986],[-0.24006116  0.09697112  0.05694294],[0.05544898 0.08303991 0.7825091 ],[0.01712261 0.12711436 1.02302   ],[-0.01443566  0.20575666  1.1382332 ],[-0.03085192  0.15151519  1.2483375 ],[-0.12724087  0.084095    0.9912661 ],[-0.28119427  0.32042366  0.87860185],[-0.00684153  0.45893368  0.85265887],[0.17562367 0.1853587  0.96048677],[0.11165408 0.4187947  0.7734905 ],[-0.00928111  0.49520242  0.90218306]
[0.         0.         0.54372644],[0.1115977  0.06722143 0.53416646],[0.01773179 0.41893834 0.33571336],[0.03091847 0.22941181 0.        ],[-0.11623353 -0.06800126  0.554105  ],[-0.2696108  0.3014704  0.4195678],[-0.23516257  0.10345891  0.05908942],[0.05485903 0.08132011 0.7895972 ],[0.01191279 0.12873888 1.0308328 ],[-0.02316187  0.20746201  1.1472114 ],[-0.03648284  0.15543276  1.2573518 ],[-0.13121462  0.0827488   0.9985362 ],[-0.28474122  0.32400715  0.88164234],[-0.010662    0.46141997  0.8536716 ],[0.17011592 0.19065809 0.9673001 ],[0.10430792 0.4285388  0.7883154 ],[-0.02672306  0.5036593   0.90707725]
[0.        0.        0.5488956],[0.10885441 0.07044113 0.5397339 ],[0.01478989 0.4188921  0.3398032 ],[0.0349882  0.23987263 0.        ],[-0.1123619  -0.07213584  0.55894667],[-0.2765928  0.2944795  0.4223041],[-0.22970328  0.09903049  0.05978802],[0.05204597 0.0820193  0.79835504],[0.00270345 0.13907874 1.0372179 ],[-0.03602704  0.21921629  1.1530658 ],[-0.04908299  0.17066872  1.2670761 ],[-0.14281076  0.09148729  1.0039753 ],[-0.29849595  0.3347328   0.88414013],[-0.02129671  0.4719032   0.8485424 ],[0.16183266 0.20182186 0.97149   ],[0.09311412 0.43438452 0.77810746],[-0.04417992  0.50780874  0.8980596 ]
[0.        0.        0.5531813],[0.10970596 0.07250471 0.5443769 ],[0.00929584 0.4201853  0.34149712],[0.030323   0.24178818 0.        ],[-0.1135594  -0.07097985  0.56170404],[-0.28438848  0.28730255  0.42409545],[-0.24111947  0.09476605  0.05751705],[0.04661378 0.08096287 0.8039687 ],[-0.00468181  0.14694306  1.0402207 ],[-0.04923931  0.2256546   1.1581856 ],[-0.06556107  0.17439497  1.2681959 ],[-0.1506274   0.09981748  1.0088485 ],[-0.3027317  0.3555963  0.891598 ],[-0.0337989   0.5001813   0.85938275],[0.1544048  0.2080121  0.97528166],[0.07922207 0.44784796 0.7891284 ],[-0.05391157  0.5076151   0.91063726]
[0.         0.         0.54907674],[0.10824955 0.0671033  0.5408068 ],[0.01696195 0.41627532 0.3292414 ],[0.03619489 0.22326645 0.        ],[-0.11297316 -0.06739481  0.55843234],[-0.28190327  0.277058    0.42205924],[-0.21830294  0.08405375  0.05306208],[0.04272056 0.08266521 0.80115515],[-0.01346586  0.15997487  1.0294461 ],[-0.06077585  0.23909414  1.1436858 ],[-0.0711761  0.192886   1.2593169],[-0.15895343  0.11930236  1.0001155 ],[-0.30037647  0.37294888  0.8794012 ],[-0.02902682  0.5305625   0.8508819 ],[0.1477879  0.21529585 0.96602106],[0.06476494 0.44845808 0.7601566 ],[-0.05506247  0.5153378   0.8966819 ]
[0.        0.        0.5546534],[0.10985236 0.06602247 0.54626733],[0.02342642 0.40917152 0.3258015 ],[0.05026696 0.21206945 0.        ],[-0.11478987 -0.06515541  0.56420493],[-0.27776003  0.27164316  0.4198389 ],[-0.19995743  0.07460186  0.05097038],[0.04529998 0.08264297 0.8071795 ],[-0.01232642  0.1611942   1.0367172 ],[-0.06601594  0.24088508  1.1481928 ],[-0.07125132  0.19465423  1.2634951 ],[-0.15873206  0.11712366  1.0083175 ],[-0.29945737  0.36983618  0.88489676],[-0.03057998  0.52997506  0.8546617 ],[0.14794442 0.21646154 0.9739623 ],[0.05385432 0.45259124 0.77514255],[-0.06046915  0.5133306   0.8994055 ]
[0.        0.        0.5553762],[0.10823809 0.0676883  0.5460494 ],[0.01623033 0.4048793  0.32405558],[0.04979427 0.206451   0.        ],[-0.11290497 -0.06681803  0.5644112 ],[-0.28644943  0.26534286  0.41773498],[-0.20782828  0.06684136  0.04897219],[0.04198708 0.08446977 0.8058721 ],[-0.02030391  0.16345018  1.0355723 ],[-0.07403867  0.24283224  1.1453981 ],[-0.08398625  0.19444954  1.2592361 ],[-0.16547045  0.12012383  1.0046318 ],[-0.30708718  0.37111983  0.8828535 ],[-0.03902319  0.5300212   0.8486134 ],[0.14046688 0.21924326 0.9726671 ],[0.04436097 0.44848764 0.7732762 ],[-0.06267846  0.5021908   0.8988477 ]
[0.        0.        0.5593008],[0.10980815 0.06639944 0.548794  ],[0.02207424 0.4041263  0.32499182],[0.05743847 0.20615134 0.        ],[-0.11401466 -0.06629004  0.5682906 ],[-0.28318053  0.26425597  0.41262355],[-0.20202565  0.05977303  0.04807717],[0.04115192 0.08774471 0.81077015],[-0.01933358  0.16900533  1.0391989 ],[-0.07482299  0.24839777  1.1489301 ],[-0.08527014  0.2027995   1.2646639 ],[-0.16715041  0.12540007  1.0105579 ],[-0.31204847  0.37487075  0.887324  ],[-0.0417096   0.53100985  0.8499765 ],[0.1409403  0.22400391 0.97629845],[0.04917264 0.45106524 0.7745172 ],[-0.05744356  0.51018953  0.8916311 ]
[0.         0.         0.56514204],[0.10858675 0.06775151 0.55478853],[0.02218143 0.3812001  0.31286687],[0.06164823 0.17955297 0.        ],[-0.11309168 -0.06637174  0.5735737 ],[-0.28355807  0.24704042  0.4095406 ],[-0.18153165  0.03224817  0.04718733],[0.04418142 0.09281212 0.8169879 ],[-0.01999269  0.17596626  1.0451788 ],[-0.07665823  0.2576437   1.1538754 ],[-0.08318835  0.21224022  1.267637  ],[-0.16923697  0.12836492  1.0185839 ],[-0.31020647  0.37249047  0.89532524],[-0.04247347  0.536026    0.8642961 ],[0.14335963 0.23113751 0.9807006 ],[0.03583515 0.45813853 0.7684219 ],[-0.06211171  0.5085452   0.89471567]
[0.        0.        0.5864013],[0.10851231 0.06459872 0.57474804],[0.03697361 0.37109575 0.31738603],[0.07778145 0.1775594  0.        ],[-0.11524369 -0.0637027   0.5963426 ],[-0.26908988  0.23849618  0.41250843],[-0.1743721   0.02115151  0.05172962],[0.04940728 0.09857696 0.83973527],[-0.01697024  0.17257285  1.0717995 ],[-0.06159292  0.25802535  1.1765306 ],[-0.06980829  0.21469063  1.2925206 ],[-0.16800025  0.12725699  1.045134  ],[-0.29811376  0.3653402   0.9225974 ],[-0.03170921  0.52835333  0.8978964 ],[0.14874578 0.22965586 1.0145212 ],[0.04383139 0.46724588 0.808702  ],[-0.06888992  0.50473213  0.9303272 ]
